Dataset,Method,Accuracy,Accuracy std,F1,F1 std,AUC,AUC std
mfeat-zernike,RTDL-ResNet,0.835,0.01870828693386971,0.8297856693599774,0.013982691789813288,0.982213888888889,0.002599146642958996
mfeat-zernike,RW-ResNet,0.836,0.01319090595827293,0.8317830986795454,0.013168975216210016,0.9824666666666667,0.0029989144126369134
mfeat-zernike,NODE,0.8379999999999999,0.01977371993328518,0.8342723569336059,0.02014273398271803,0.9835194444444445,0.0024964496394818854
mfeat-zernike,RW-NODE,0.8305,0.030696090956341657,0.8260493942537181,0.03184381105403525,0.9836222222222222,0.002840329054141901
cmc,XGBoost,0.5202702702702702,0.03688471368636805,0.5034503077088966,0.03875786428024773,0.7119706491145321,0.029973745649462532
cmc,CatBoost,0.5398648648648648,0.04705051448257751,0.5219836903691294,0.05126933758609746,0.7356482971798475,0.02835077203142545
cmc,LightGBM,0.5398648648648648,0.039565989113398245,0.5214484877999832,0.04389358033136317,0.7115101546737945,0.02956291649200575
cmc,RandomForest,0.520945945945946,0.036567727372256234,0.5029835063247161,0.03778310320798173,0.7184760212639949,0.027404105199870913
cmc,MLP,0.5445945945945947,0.045945945945945935,0.5204147353424372,0.04591987021959567,0.7293176847516001,0.026675255845152394
cmc,RW-MLP,0.5418918918918919,0.03995066351106615,0.5182213269157525,0.03806671313922883,0.7316811028987469,0.024405379201023696
cmc,Linear-MLP,0.5513513513513514,0.03965243446248977,0.5277063784976691,0.04425515865904971,0.7291988646908693,0.029124906182403966
cmc,FT-Transformer,0.5581081081081081,0.035906297988071406,0.5441008033489256,0.03502636855876516,0.7335791165806167,0.02882853734132784
cmc,RW-FT-Transformer,0.5418918918918918,0.022773377765341496,0.5274198464489427,0.024390095679371476,0.7310410966098624,0.024254224993501196
cmc,RTDL-ResNet,0.5283783783783784,0.04129920754036791,0.5061174012007239,0.04451091003733597,0.721224047586117,0.027185143160216266
cmc,RW-ResNet,0.5364864864864864,0.03703294488120196,0.5148811492577379,0.04078697281428025,0.7237322654388818,0.029308059618294347
cmc,NODE,0.5567567567567568,0.033266307094841005,0.5310293048368909,0.03349888061380673,0.7327573262379047,0.02425512749833598
cmc,RW-NODE,0.5297297297297298,0.040223989367938424,0.5101466615217609,0.04306712135442324,0.7253092361319038,0.03255071275374279
credit-approval,XGBoost,0.8507462686567164,0.037758539225891105,0.8647773913241584,0.03436491026384818,0.9187387387387387,0.03274077648638495
credit-approval,CatBoost,0.844776119402985,0.02847579705722226,0.8570086210483667,0.025971098170586106,0.9248648648648649,0.03281357622751428
credit-approval,LightGBM,0.853731343283582,0.0311650940564494,0.868482607108343,0.027932820400648293,0.9119819819819821,0.03400360914114579
credit-approval,RandomForest,0.8432835820895521,0.034198326081759996,0.8572615769429035,0.03142251564835082,0.9167567567567568,0.03177563173019436
credit-approval,MLP,0.8537313432835821,0.03324038425570164,0.8653000526254788,0.029406460277512904,0.9086486486486487,0.038109705416655204
credit-approval,RW-MLP,0.8462686567164178,0.035351400842767194,0.8552288758014257,0.03344135386156663,0.9100900900900901,0.03918618607111978
credit-approval,Linear-MLP,0.8298507462686567,0.04681906609360634,0.8459455531815019,0.04216978098822161,0.8967567567567567,0.045625449934019076
credit-approval,FT-Transformer,0.8477611940298507,0.03519351081358683,0.8625427768898326,0.032835725665187866,0.9066666666666666,0.03283088570607615
credit-approval,RW-FT-Transformer,0.8492537313432835,0.025373134328358207,0.864331865323668,0.022183997628534024,0.9163063063063064,0.03154041059027141
credit-approval,RTDL-ResNet,0.8432835820895523,0.048707966782330504,0.8531386425322788,0.046929641924107014,0.9058558558558559,0.037482782888509245
credit-approval,RW-ResNet,0.8432835820895523,0.04916319131940479,0.8530977004416702,0.047554150218594375,0.9041441441441442,0.037810371841776526
credit-approval,NODE,0.8328358208955222,0.032563319745181236,0.8431284139834944,0.029868782247032745,0.9119819819819819,0.03838736518728835
credit-approval,RW-NODE,0.8343283582089551,0.029437437198979143,0.8456968985895351,0.028533946628249506,0.9068468468468469,0.041639167940693535
credit-g,XGBoost,0.757,0.042906875905849864,0.8334433608651268,0.03077097621358649,0.7738095238095238,0.050098768660668626
credit-g,CatBoost,0.7570000000000001,0.0355105618091294,0.8367250679071419,0.026642038730145073,0.7752380952380953,0.057651309346690084
credit-g,LightGBM,0.7590000000000001,0.041340053217188776,0.8342735552322494,0.029167786506906133,0.7665714285714287,0.05492679110372624
credit-g,RandomForest,0.745,0.03170173496829472,0.8335507969476247,0.020973393023754387,0.7834761904761904,0.04322385437812766
credit-g,MLP,0.703,0.02282542442102664,0.8013904838681312,0.023107192794025743,0.7378571428571428,0.025335168211387885
credit-g,RW-MLP,0.7040000000000001,0.02009975124224177,0.8019947610255824,0.017375640096207567,0.7359523809523809,0.02258895240986306
credit-g,Linear-MLP,0.71,0.023664319132398488,0.8055906521684179,0.020976863407565143,0.7251904761904762,0.02315720699539702
credit-g,FT-Transformer,0.748,0.0464327470649756,0.8289799239500992,0.03371084930095167,0.7704285714285714,0.04005860219699788
credit-g,RW-FT-Transformer,0.728,0.041904653679513945,0.8124763449342536,0.031250614226411726,0.7598571428571429,0.038493778394133885
credit-g,RTDL-ResNet,0.7150000000000001,0.032015621187164243,0.8062850297113056,0.025221344207359112,0.7320476190476191,0.03157257772813446
credit-g,RW-ResNet,0.71,0.034351128074635334,0.8042058638423241,0.028523509256155658,0.7317619047619048,0.030062708459307134
credit-g,NODE,0.7099999999999999,0.019493588689617928,0.8065735491977133,0.0179251116350803,0.7422380952380953,0.023306155211623814
credit-g,RW-NODE,0.696,0.024166091947189123,0.7958886110069383,0.0189721105391219,0.7215238095238096,0.026680948556470328
diabetes,XGBoost,0.7181818181818181,0.05480765674288104,0.5762203739239372,0.08805627656669292,0.7794074074074073,0.05364395143329046
diabetes,CatBoost,0.7337662337662337,0.04470627137158055,0.5893979022106001,0.07282646800592946,0.8077777777777777,0.05170057297111742
diabetes,LightGBM,0.7376623376623377,0.04260057004378371,0.6083539593973484,0.06907181628648051,0.7803703703703704,0.04994839586670491
diabetes,RandomForest,0.7363636363636366,0.04720203076723703,0.5900225212614689,0.08242970170926271,0.7965185185185185,0.051320077386297146
diabetes,MLP,0.72987012987013,0.048869838239550094,0.5781326932729233,0.08229986528631222,0.8104444444444443,0.04797284325518222
diabetes,RW-MLP,0.7363636363636364,0.04348225725398237,0.5838330300661634,0.08553428197867799,0.8132592592592592,0.04668835474865018
diabetes,Linear-MLP,0.7441558441558441,0.03854758981728788,0.6009583094072172,0.07949260604960166,0.8051851851851852,0.05463634610312705
diabetes,FT-Transformer,0.72987012987013,0.03617763188878993,0.5921249768832734,0.06841158849169578,0.8046666666666666,0.047447957194965855
diabetes,RW-FT-Transformer,0.72987012987013,0.03755021375272978,0.583707543170541,0.07231459569566513,0.8091851851851851,0.0479977137086966
diabetes,RTDL-ResNet,0.7246753246753247,0.054110822483116015,0.5741341879356406,0.10466655061038836,0.7914814814814815,0.06666275708700999
diabetes,RW-ResNet,0.7363636363636363,0.050981263445170205,0.5974525144418029,0.09174197239001299,0.797111111111111,0.06038327514879823
diabetes,NODE,0.7402597402597402,0.04573199184846497,0.5915854739820123,0.08631190245149802,0.8102222222222222,0.050164940566123896
diabetes,RW-NODE,0.7363636363636364,0.046117612739129114,0.5950334747467234,0.08699591971417937,0.8069629629629629,0.05301779083859174
spambase,XGBoost,0.9496746203904556,0.007438797483506408,0.935829316517421,0.009754730294260685,0.9863533419985033,0.005207598046454115
spambase,CatBoost,0.9496746203904557,0.00774862086745845,0.9356723714580013,0.009829391967085134,0.9845819055496474,0.004915275124043468
spambase,LightGBM,0.9509761388286335,0.008954345961193174,0.9376663261150876,0.01135820864415325,0.9864094686675331,0.004808298277802404
spambase,RandomForest,0.9377440347071582,0.006438534524796463,0.918832918692031,0.009015419422456334,0.9802276576470126,0.005387799957851013
spambase,MLP,0.9399132321041213,0.008998901740863999,0.9236421059256346,0.011420339360920318,0.9788727401630627,0.005091172444486295
spambase,RW-MLP,0.9357917570498915,0.00921334515470512,0.9181248410078835,0.011745999240989988,0.9764386151482926,0.006608195477009736
spambase,Linear-MLP,0.936225596529284,0.010502141810768088,0.9184817855179805,0.013362015313766512,0.9772637756508724,0.00708748094866362
spambase,FT-Transformer,0.936876355748373,0.010195227765726686,0.9202168761920356,0.013904779382954757,0.9794418842805939,0.0053923812459327055
spambase,RW-FT-Transformer,0.9314533622559653,0.00777287326124464,0.9124565355035923,0.010323413093817953,0.9768383945803301,0.005863926156320044
spambase,RTDL-ResNet,0.9347071583514099,0.01103735725224168,0.917035126469371,0.014317351763073359,0.9780554570877152,0.006338264363793299
spambase,RW-ResNet,0.9297180043383946,0.011889101610450961,0.9109045586357334,0.015060810547501068,0.9770609318996415,0.007426490218840741
spambase,NODE,0.9370932754880693,0.006507592190889362,0.9201104126817988,0.008237269521140931,0.9797924297924299,0.004014025058416862
spambase,RW-NODE,0.9266811279826463,0.010257345264674094,0.9074882962952742,0.012892500117679192,0.9687965260545907,0.006371388910462784
tic-tac-toe,XGBoost,0.9927083333333334,0.010468620438667597,0.9945123138677433,0.007846265179581615,0.9998556998557,0.0003079905838110913
tic-tac-toe,CatBoost,0.9791666666666666,0.010416666666666675,0.9844348078331666,0.007655596818701975,0.9999037999037999,0.00028860028860028253
tic-tac-toe,LightGBM,0.996875,0.006669921080659224,0.9976252968378952,0.005075042914342309,0.9999518999518999,0.00014430014430012462
tic-tac-toe,RandomForest,0.9458333333333334,0.025853486762480966,0.9606546837850676,0.01779116540582736,0.9958633958633959,0.003708385813832881
tic-tac-toe,MLP,0.9416666666666667,0.03061862178478974,0.9571561210042038,0.022135566128964095,0.983164983164983,0.019190653359434776
