dataset,method,r2_mean,r2_std,rmse_mean,rmse_std
MIP-2016-regression,RTDL-ResNet,0.5742673892226028,0.04430120846263945,0.14675688224390676,0.007499492094895806
MIP-2016-regression,RW-ResNet,0.5668432762855843,0.04488813279554575,0.14801300168154904,0.0072430855136083935
MIP-2016-regression,NODE,0.5668929087040471,0.033787987251526964,0.1481319786048988,0.0063246480410737846
MIP-2016-regression,RW-NODE,0.552990820479309,0.03409747949458278,0.15053005127792463,0.007051235031725822
MIP-2016-regression,TabNet,0.5234537242693144,0.04461579500621043,0.15529644345391241,0.007090725078744056
MIP-2016-regression,RW-TabNet,0.4985281168537622,0.058377728948052335,0.15924273098366257,0.009683071453391505
nyc-taxi-green-dec-2016,RTDL-ResNet,-3.521169683635694e-05,0.015014576660550097,28.359138221385376,3.2025530687744865
nyc-taxi-green-dec-2016,RW-ResNet,0.004655551607429276,0.010090901528336872,28.286650870087463,3.1265096270580264
nyc-taxi-green-dec-2016,NODE,0.017721958448963727,0.008361624057019023,28.1124456145601,3.221480907389865
nyc-taxi-green-dec-2016,RW-NODE,0.01764404345441899,0.009132603834493313,28.114120194299403,3.225777923904184
nyc-taxi-green-dec-2016,TabNet,0.01433849580293729,0.006433216156325216,28.163673888164247,3.2446337099243543
nyc-taxi-green-dec-2016,RW-TabNet,0.012630607197265508,0.008870619638930788,28.17983351411558,3.1813938783774742
delays_zurich_transport,RTDL-ResNet,0.21093057306445068,0.712750081474502,1.9098123291692182,0.6435652011405506
delays_zurich_transport,RW-ResNet,0.28972569907699053,0.46716484883556575,1.8581722691746603,0.5012003827762831
delays_zurich_transport,NODE,0.46740582443823336,0.06595859742259932,1.6765914855281772,0.3133289955928775
delays_zurich_transport,RW-NODE,0.467006813669514,0.06475951606542005,1.6791831270801705,0.32431598065641415
delays_zurich_transport,TabNet,0.3752274432278947,0.20109367668433814,1.7885885121717322,0.3468715349725014
delays_zurich_transport,RW-TabNet,0.41656204840978067,0.1214890387663698,1.7371978216037132,0.27434746021748796
yprop_4_1,RTDL-ResNet,0.6249121498798675,0.06306430882831565,0.14488966038237816,0.010698450529611596
yprop_4_1,RW-ResNet,0.614711366091642,0.0735658921953086,0.1466223776566044,0.011519514954614259
yprop_4_1,NODE,0.6626034813434717,0.04222704862153469,0.1376147380763341,0.008046190160175538
yprop_4_1,RW-NODE,0.6375336521890416,0.03788683263141073,0.14271357354846628,0.006468314731682249
yprop_4_1,TabNet,0.5824003938123654,0.06108527724838204,0.15298448536135925,0.010585305452777907
yprop_4_1,RW-TabNet,0.5631234018900189,0.0558417793950397,0.15690246418026138,0.01362116419578207
analcatdata_supreme,RTDL-ResNet,0.8730916023524629,0.015965339430767795,136649.7635583187,12058.328002449805
analcatdata_supreme,RW-ResNet,0.8738305146589675,0.022357684223930262,135908.49327991655,14772.249361592734
analcatdata_supreme,NODE,0.8760700782876591,0.012038707697456307,135413.91493796278,13233.333578548672
analcatdata_supreme,RW-NODE,0.8705943978643681,0.015965083637737628,138372.757535807,15713.9577777911
analcatdata_supreme,TabNet,0.8054192274545793,0.06780481817136987,168341.03944449118,36368.87279667863
analcatdata_supreme,RW-TabNet,0.8128279968865014,0.07646150421949868,162186.81571192865,30290.047505111277
elevators,RTDL-ResNet,0.9207314142327006,0.0066731720557550184,0.0018932927874942302,5.386018344740563e-05
elevators,RW-ResNet,0.9203904207529913,0.006460632148297863,0.0018976195902730857,5.409438723975286e-05
elevators,NODE,0.9124796522914819,0.008643124231867682,0.0019886180646113373,7.206624419279908e-05
elevators,RW-NODE,0.9182593070451089,0.0075577967177477235,0.0019224040414214777,6.77979436459072e-05
elevators,TabNet,0.9116039751453752,0.009036542190204614,0.0019975276212589577,5.241062554383368e-05
elevators,RW-TabNet,0.9106182263295963,0.007417252941488737,0.0020110520715678408,7.918297324395728e-05
kin8nm,RTDL-ResNet,0.9406564198615659,0.003140486361275417,0.06356686765264577,0.001725301661838704
kin8nm,RW-ResNet,0.9415835858207405,0.002772775224209813,0.0630672004486087,0.0013875984568673778
kin8nm,NODE,0.9139966089469738,0.005819473158678003,0.07650638545182381,0.002617798890684295
kin8nm,RW-NODE,0.9041996101730444,0.006712137842201247,0.08072999719080383,0.0025034250676498403
kin8nm,TabNet,0.9063102376568251,0.012340870361379836,0.07971585787894413,0.005042415179610505
kin8nm,RW-TabNet,0.9098480020335769,0.006877318222037264,0.07830617949538218,0.002709389590682214
houses,RTDL-ResNet,0.7941839506428996,0.013833970910797366,51358.18731498033,1692.1668561873037
houses,RW-ResNet,0.7936263237740803,0.013768025780338635,51425.22746669692,1599.3871510168392
houses,NODE,0.7266607626463525,0.018650719686716298,59199.9125548991,2328.9075575545166
houses,RW-NODE,0.7454793305614313,0.01659301849508724,57112.05677089545,1736.6170522411157
houses,TabNet,0.7549833408013489,0.019020628749139634,56034.112813942644,2336.265537199025
houses,RW-TabNet,0.748438906509305,0.026151557459246737,56745.64446572513,3043.9061574805846
california_housing,RTDL-ResNet,0.7201796873067045,0.20098635939867465,40261.331960117066,13872.721803057113
california_housing,RW-ResNet,0.7493243093033276,0.18728716312772656,37941.48277976354,13253.293740503474
california_housing,NODE,0.8433045629677377,0.052873640110998696,31507.256558722824,7614.331399376751
california_housing,RW-NODE,0.8333708438859899,0.05741785917802689,32492.1791162388,7800.963143723906
california_housing,TabNet,0.7409885654301835,0.11118269214131428,39691.21590198686,7994.797664538865
california_housing,RW-TabNet,0.6094904239560873,0.3363000870342587,46407.9133256391,16063.635044453453
pol,RTDL-ResNet,0.28989206277609325,0.06246368045685095,0.42039951530696085,0.01884303874961786
pol,RW-ResNet,0.2848168685272857,0.06259936152362593,0.42189687884075644,0.018650904934919856
pol,NODE,0.07871808163403535,0.09723902421546281,0.4786304348425026,0.02564401513013273
pol,RW-NODE,0.22789450455899768,0.07271863856521264,0.43831377827262247,0.02092032776821536
pol,TabNet,0.11829093866421236,0.10669376455927748,0.4680329468762047,0.028355734963489202
pol,RW-TabNet,0.1287652799108293,0.10813487519543503,0.46522477777224347,0.028872232091386688
OnlineNewsPopularity,RTDL-ResNet,-0.01770585122046774,0.036423178317328185,11620.29336365232,5530.5403984484465
OnlineNewsPopularity,RW-ResNet,-0.007866121492505018,0.02866075042312561,11577.485267223245,5545.022233119872
OnlineNewsPopularity,NODE,0.02169327796865823,0.01401129735289378,11445.816140131488,5550.397678817189
OnlineNewsPopularity,RW-NODE,0.017166453294439565,0.012439657066200517,11471.668327771364,5557.3520652415045
OnlineNewsPopularity,TabNet,0.010396922888738058,0.011954024609969211,11491.98948079426,5521.47443222739
OnlineNewsPopularity,RW-TabNet,0.010498016775843898,0.015533866455174912,11482.46672626654,5487.032483682392
Yolanda,RTDL-ResNet,0.2506266376391985,0.03770399714745472,9.652604649919983,0.4280260812840929
Yolanda,RW-ResNet,0.266993578645335,0.027141393594123406,9.542904805256407,0.2361410760151384
Yolanda,NODE,0.31218536777152006,0.02889595993259655,9.245134030694398,0.29827130972382343
Yolanda,RW-NODE,0.3006898584409436,0.025416188231375633,9.321945291871966,0.26174554060013466
Yolanda,TabNet,0.2714054840441155,0.030327686761280614,9.518042221012212,0.3832807414152925
Yolanda,RW-TabNet,0.2588127170269921,0.028432963624279516,9.598984923047402,0.3427594358554009
bank8FM,RTDL-ResNet,0.9338519465146946,0.010556588267846034,1.9093761122294985,0.1521218464502542
bank8FM,RW-ResNet,0.920231240039343,0.011827980902040194,2.0980203462856197,0.15783972874836316
bank8FM,NODE,0.9096674906780071,0.010933700246948804,2.2343401897371242,0.13357197756651928
bank8FM,RW-NODE,0.83679046493978,0.02254887958017685,3.0024077142612837,0.212077771590899
bank8FM,TabNet,0.90256082059815,0.024359624858506162,2.307205622719389,0.3099391309748584
bank8FM,RW-TabNet,0.8795142888497658,0.027260136024062808,2.5693136590715326,0.315342686826914
pumadyn32nm,RTDL-ResNet,0.4566229066141898,0.017390226073540304,0.6421528480777732,0.01247207969403894
pumadyn32nm,RW-ResNet,0.4569297037815396,0.01910503921855565,0.6419534453469167,0.01333335562694829
pumadyn32nm,NODE,0.4011598615780027,0.019640061936893424,0.6741310081303802,0.013872756251583266
pumadyn32nm,RW-NODE,0.39780249793766653,0.02540177388825983,0.675888780678972,0.013330756692859715
pumadyn32nm,TabNet,0.3569862179661237,0.031245640116867302,0.6983592296242156,0.015849680749674196
pumadyn32nm,RW-TabNet,0.3579471177567317,0.022692108746328297,0.6980078887627571,0.014776788078003663
cpu_act,RTDL-ResNet,0.8355909238702719,0.01274256247805167,0.00016289035589700073,5.223153670051039e-06
cpu_act,RW-ResNet,0.8373036463171497,0.0129299963668978,0.00016203667352449681,5.213287458360136e-06
cpu_act,NODE,0.8383053664855284,0.01178314633969452,0.00016156404086968914,4.941839650727246e-06
cpu_act,RW-NODE,0.8373661545070122,0.012356132588532411,0.00016201100898601283,5.0054953698516775e-06
cpu_act,TabNet,0.8261100755511915,0.010577984675182762,0.0001676381604113069,5.1779440703543495e-06
cpu_act,RW-TabNet,0.8265981935461355,0.014144261216673417,0.00016727612356080536,5.836281135804727e-06
topo_2_1,RTDL-ResNet,0.14631932631366054,0.022995769143227436,0.4617677136459262,0.0061994496001023325
topo_2_1,RW-ResNet,0.14142349488976813,0.024875432369337792,0.4630837016020786,0.006714492518230145
topo_2_1,NODE,0.17751697700287594,0.024655050033049995,0.4532416956768829,0.006803341766868757
topo_2_1,RW-NODE,0.19191084227485386,0.025330216646689427,0.4492533209441678,0.007051499458823926
topo_2_1,TabNet,0.16929632520313248,0.030760836042629455,0.4554743289548909,0.008371475230924004
topo_2_1,RW-TabNet,0.14785911138995156,0.0342490571556437,0.4612977631570819,0.009185565225004183
superconduct,RTDL-ResNet,0.9996027257619703,0.00027264969511641373,0.23738774295479148,0.07064888216611377
superconduct,RW-ResNet,0.9996735757123021,0.00024472190667727356,0.21485577376484083,0.06530316974338464
superconduct,NODE,0.9983449554192065,0.0002122816953898415,0.5034057730833438,0.033729650584332714
superconduct,RW-NODE,0.9976876051319289,0.0003698837006995366,0.5944983368531183,0.05018803216875936
superconduct,TabNet,0.9992481339953432,0.0003339296550003634,0.3331852345037844,0.06909656326108439
superconduct,RW-TabNet,0.9987431347326318,0.0005181250311560156,0.42986428380794994,0.08951528023395473
jannis,RTDL-ResNet,0.5161114501535901,0.06899856790221806,8.652707617212489,1.3375665143586877
jannis,RW-ResNet,0.5260630947638244,0.07000068685431733,8.564242384153028,1.348099771568458
jannis,NODE,0.5565182987503052,0.0666454057136402,8.28360100375412,1.3114935849290057
jannis,RW-NODE,0.549999736682883,0.06984928151877905,8.347697545896773,1.362019246495773
jannis,TabNet,0.4601150972442875,0.16185821027389838,9.030767893438634,1.422968520748325
jannis,RW-TabNet,0.5001474833229176,0.05159476390724462,8.782967687074862,1.122884062922971
