Dataset,Method,R²,R² std,RMSE,RMSE std,MAE,MAE std,Spearman,Spearman std
boston,IdentityNoAct-MLP,0.872194093776033,0.0632382801880564,2.9781709324068126,0.7357115705139011,1.9982251513637508,0.295831551075537,0.8953280493003973,0.04176358599299543
boston,RW-MLP,0.8784939271808238,0.05126187776554268,2.930346926689337,0.6547268323792799,2.0141965194299924,0.29100875131982507,0.899119823843136,0.03702914587777817
socmob,MLP,0.6823483379366049,0.12789291590620863,24.623274589144344,9.358224632535867,10.553966202877314,2.2065298111072207,0.8252836619059563,0.07638893436280399
socmob,Linear-MLP,0.6742893430959697,0.12438648976372653,24.78846416931126,9.088177477071055,11.33906645223659,2.3490500979323854,0.7317470388210109,0.11102162398266328
socmob,Identity-MLP,0.6710450189714446,0.12655168029894753,24.84865181298561,9.061865413955497,10.930663223600408,2.125297890535103,0.770278270007435,0.08434955890207178
socmob,NoAct-MLP,0.6617720211828018,0.1481178391207509,24.91268617846888,9.117586189281019,10.926273795463896,2.5426659180361053,0.809133184961093,0.13162194022205537
socmob,IdentityNoAct-MLP,0.6854727976307784,0.12802940641077762,24.41924174685055,9.241838856818736,10.555752299508358,2.1585644669322464,0.8227200458876404,0.07496734528308122
socmob,RW-MLP,0.6864707057014698,0.1237036302184291,24.380023747052867,9.092612487774502,10.512594272740632,2.119772950128462,0.8266432401519621,0.07572227183562805
sensory,MLP,0.06697645961524189,0.12698382684162582,0.7664135334398414,0.057565406026390764,0.6101445495114138,0.054930799638160936,0.3267685519016286,0.1782513326268274
sensory,Linear-MLP,-0.006978334565377475,0.11775469967971501,0.7969993182925675,0.05915902594152058,0.6379286059631235,0.05763683622608793,0.16831189411998423,0.16539190745943502
sensory,Identity-MLP,0.06115655174923366,0.12580532704207592,0.7688113142836466,0.054532062677640596,0.6186430915168623,0.04598818324746738,0.31572797609491515,0.14903311619430906
sensory,NoAct-MLP,0.06617747986763356,0.12721060454501704,0.7670391621087285,0.05921652379070846,0.6107763489258782,0.05413025039615746,0.3329566577906869,0.16918048195977933
sensory,IdentityNoAct-MLP,0.05583957610465109,0.12372803529140627,0.7712034484788642,0.05738823881677751,0.6136461832872958,0.05542258550482351,0.320550361703506,0.17614300141349348
sensory,RW-MLP,0.06311468476448405,0.1152614017115878,0.768445318128488,0.056747214437672513,0.6100396595624041,0.054912005382512334,0.3532627272494876,0.10470473394039508
no2,MLP,0.5200953310655618,0.09792206378754877,0.483867304224992,0.05078159165417513,0.3814952213304448,0.04011541668755259,0.7331336818314764,0.04708104395988463
no2,Linear-MLP,0.42626107844603356,0.11315185413318367,0.5282571582069356,0.04095092019810056,0.41729452839129955,0.03800755613318321,0.6889612176222208,0.04390501390375975
no2,Identity-MLP,0.47697052103463233,0.06254404457782,0.5080960594571453,0.05229827937391588,0.39339500320258053,0.04908509523921645,0.7048497831598681,0.05779184197956634
no2,NoAct-MLP,0.47456299625640347,0.10722523839692379,0.5060111969754124,0.05284841920658257,0.39289293738524406,0.042248321018975486,0.7180792261243756,0.05494752317655152
no2,IdentityNoAct-MLP,0.5211473644327432,0.10602254905131328,0.4826661824358883,0.05231019909977266,0.38044195843034834,0.03937623829338561,0.7331912825113569,0.048601758986643685
no2,RW-MLP,0.5204872239055713,0.10168751309898592,0.4834103305082621,0.052773213191508093,0.38073002933736905,0.03791301066475344,0.7319715320272062,0.04868370738616441
quake,MLP,-0.0011271475805798904,0.020091166456577332,0.18488683553519017,0.011435435627104355,0.14614615915037998,0.00769643244276835,0.07600719086068382,0.057935206327485105
quake,Linear-MLP,-0.005335418462821295,0.01612872764818361,0.18524631484147996,0.01094177327645163,0.14685347018985503,0.006754016553751172,0.028451283465111464,0.04335774541840485
quake,Identity-MLP,-0.0008838557322920382,0.02282210765981483,0.18482142804481996,0.010833997284265094,0.14674913692883448,0.007202295963268613,0.0435614649506224,0.04778680479514809
quake,NoAct-MLP,-0.005821566956695534,0.016542970625959177,0.18531390621135918,0.011305779609169007,0.14671880327380998,0.007326549073830435,0.044433472854593856,0.061317628590921665
quake,IdentityNoAct-MLP,-0.0011254352763071184,0.019451595730438625,0.18489368867362416,0.011531612419598257,0.14613075764805808,0.007726504495659284,0.0755877237723965,0.0583607828615903
