Dataset,Method,R²,R² std,RMSE,RMSE std,MAE,MAE std,Spearman,Spearman std
houses,IdentityNoAct-MLP,0.8143401026305199,0.00552782567887795,49532.2654421357,869.1102941937314,32977.49808229903,537.6604730199973,0.9103886220430711,0.00396206750920498
houses,RW-MLP,0.8161867291750058,0.007273889727556406,49276.81258842976,872.0547934127551,32634.223745494288,605.9751960374051,0.911758305575791,0.004008731088582594
california_housing,MLP,0.8677892488135391,0.08905176687136322,30359.222731530164,10793.87647318731,17375.842113278144,2360.6010831189465,0.9510895057199882,0.01353279196049763
california_housing,Linear-MLP,0.8591969413274592,0.09710427280705995,31202.95614784596,11324.407449575507,17869.05039069613,2428.849700220535,0.9484452969438323,0.015431678060853198
california_housing,Identity-MLP,0.8698163469542559,0.08278067193877856,30086.2380204315,10115.522869620505,17314.643318179726,1959.015001161696,0.9493561345837234,0.011359835810388266
california_housing,NoAct-MLP,0.8775188773094598,0.07886467588721426,29315.660737767106,10225.639644545196,17578.831974834353,2477.6986964487305,0.9518260361473979,0.01441854961323059
california_housing,IdentityNoAct-MLP,0.8701160712336804,0.09000763483138857,30020.762502248574,10868.48687777685,17163.228912438277,2222.1998012780637,0.9514995457518136,0.013201035500384947
california_housing,RW-MLP,0.8732098666197456,0.08339547679339272,29776.07695638688,10418.301833345044,17506.77203110354,2356.0993295164235,0.9517432417334917,0.010622408756161257
jannis,MLP,0.547493996281237,0.0696882770998938,8.369390960093563,1.3512119914095526,5.565755916992493,0.31379223201688133,0.7539822649741488,0.021235921351054066
jannis,Linear-MLP,0.5482903885755445,0.06979609559489934,8.362076547320601,1.3514394097305245,5.458613725153439,0.3102951640356031,0.7510210226265275,0.02674499039060913
jannis,Identity-MLP,0.5440195153626264,0.06956640540347826,8.40163940977302,1.3496091964570625,5.496934388604519,0.2953038943572416,0.7551039956504344,0.023024794347730828
jannis,NoAct-MLP,0.5480743611392278,0.06605759669468557,8.364798363250966,1.3221208127636404,5.49951499730865,0.3179365357093865,0.7506143819054364,0.02606315495309773
jannis,IdentityNoAct-MLP,0.5478189978439717,0.06583160911775583,8.367109115321316,1.3210376161007193,5.550970338899625,0.29683759620752176,0.7531246138018642,0.023463953946923664
jannis,RW-MLP,0.5367615586898588,0.07024762124802858,8.46595972242268,1.3459771222979724,5.535000644371016,0.32509930823864847,0.7470740861436707,0.01835083131573328
